Start_Time,State,Weather_Condition
2016-02-15 07:37:49,OH,Light Snow
2016-02-15 07:46:58,OH,Light Freezing Drizzle
2016-02-15 07:52:29,OH,Overcast
2016-02-15 08:00:58,OH,Light Freezing Drizzle
2016-02-15 08:11:33,OH,Overcast
2016-02-15 08:10:15,OH,Light Freezing Drizzle
2016-02-15 08:15:01,OH,Overcast
2016-02-15 08:31:47,OH,Light Freezing Drizzle
2016-02-15 08:39:04,OH,Light Freezing Drizzle
2016-02-15 11:31:02,OH,Overcast
2016-02-15 12:30:47,OH,Overcast
2016-02-15 12:34:50,OH,Overcast
2016-02-15 12:53:44,OH,Mostly Cloudy
2016-02-15 17:22:10,OH,Overcast
2016-02-15 18:27:18,OH,Light Drizzle
2016-02-15 19:37:18,OH,Overcast
2016-02-15 21:09:25,OH,Fog
2016-02-16 04:05:51,OH,Light Snow
2016-02-16 04:32:29,OH,Light Snow
2016-02-16 05:22:24,OH,Light Snow
2016-02-16 05:37:52,OH,Light Snow
2016-02-16 06:05:20,OH,Overcast
2016-02-16 06:17:32,OH,Overcast
2016-02-16 06:32:55,OH,Overcast
2016-02-16 06:29:15,OH,Overcast
2016-02-16 06:39:15,OH,Overcast
2016-02-16 06:34:11,OH,Overcast
2016-02-16 06:47:00,OH,Light Snow
2016-02-16 06:50:07,OH,Overcast
2016-02-16 06:50:44,OH,Overcast
2016-02-16 07:02:31,OH,Overcast
2016-02-16 07:10:35,OH,Overcast
2016-02-16 07:12:17,OH,Overcast
2016-02-16 07:29:07,OH,Overcast
2016-02-16 07:52:41,OH,Overcast
2016-02-16 07:55:23,OH,Overcast
2016-02-16 07:56:09,OH,Light Snow
2016-02-16 07:58:47,OH,Overcast
2016-02-16 08:13:51,OH,Overcast
2016-02-16 08:20:32,OH,Overcast
2016-02-16 08:26:30,OH,Overcast
2016-02-16 08:36:20,OH,Overcast
2016-02-16 08:42:17,OH,Overcast
2016-02-16 08:41:46,OH,Overcast
2016-02-16 08:57:31,OH,Overcast
2016-02-16 10:03:00,OH,Overcast
2016-02-16 10:58:52,OH,Overcast
2016-02-16 11:12:18,OH,Haze
2016-02-16 11:11:35,OH,Light Snow
2016-02-16 11:10:17,OH,Overcast
2016-02-16 11:11:03,OH,Overcast
2016-02-16 11:32:10,OH,Overcast
2016-02-16 13:46:09,WV,Overcast
2016-02-16 14:02:11,OH,Overcast
2016-02-16 16:47:00,OH,Overcast
2016-02-17 05:31:16,OH,Overcast
2016-02-17 05:45:55,OH,Overcast
2016-02-17 06:27:01,OH,Overcast
2016-02-17 06:32:23,OH,Overcast
2016-02-17 06:44:13,OH,Overcast
2016-02-17 07:10:58,OH,Overcast
2016-02-17 07:14:08,OH,Haze
2016-02-17 07:22:56,OH,Overcast
2016-02-17 07:29:02,OH,Overcast
2016-02-17 07:30:19,OH,Overcast
2016-02-17 07:40:55,OH,Overcast
2016-02-17 07:39:25,OH,Overcast
2016-02-17 07:43:28,OH,Haze
2016-02-17 07:52:09,OH,Haze
2016-02-17 08:02:55,OH,Overcast
2016-02-17 08:04:44,OH,Overcast
2016-02-17 07:49:00,OH,Haze
2016-02-17 08:17:11,OH,Overcast
2016-02-17 08:28:56,OH,Light Snow
2016-02-17 08:33:39,OH,Overcast
2016-02-17 08:59:18,OH,Overcast
2016-02-17 10:00:29,OH,Overcast
2016-02-17 10:19:04,OH,Haze
2016-02-17 10:32:29,OH,Haze
2016-02-17 10:22:00,OH,Haze
2016-02-17 12:57:34,OH,Overcast
2016-02-17 13:25:09,OH,Mostly Cloudy
2016-02-17 17:17:12,OH,Overcast
2016-02-18 04:25:02,OH,Overcast
2016-02-18 05:46:52,OH,Mostly Cloudy
2016-02-18 06:27:59,OH,Clear
2016-02-18 07:00:26,OH,Overcast
2016-02-18 07:47:17,OH,Clear
2016-02-18 07:51:15,OH,Mostly Cloudy
2016-02-18 07:49:43,OH,Clear
2016-02-18 07:55:22,OH,Clear
2016-02-18 07:50:11,OH,Haze
2016-02-18 08:01:09,OH,Mostly Cloudy
2016-02-18 08:00:26,OH,Scattered Clouds
2016-02-18 08:15:01,OH,Haze
2016-02-18 08:12:56,OH,Mostly Cloudy
2016-02-18 08:15:59,OH,Mostly Cloudy
2016-02-18 08:20:00,OH,Scattered Clouds
2016-02-18 08:22:38,OH,Clear
2016-02-18 08:29:38,OH,Haze
2016-02-18 08:37:28,OH,Haze
2016-02-18 08:39:27,OH,Clear
2016-02-18 08:48:51,OH,Clear
2016-02-18 08:51:29,OH,Mostly Cloudy
2016-02-18 09:00:07,OH,Clear
2016-02-18 09:03:24,OH,Clear
2016-02-18 09:25:10,OH,Mostly Cloudy
2016-02-18 09:22:26,OH,Clear
2016-02-18 09:26:39,OH,Clear
2016-02-18 09:26:00,OH,Clear
2016-02-18 09:45:05,OH,Mostly Cloudy
2016-02-18 10:15:59,OH,Scattered Clouds
2016-02-18 11:27:16,OH,Mostly Cloudy
2016-02-18 13:44:49,OH,Clear
2016-02-18 15:31:55,OH,Mostly Cloudy
2016-02-18 15:46:33,OH,Mostly Cloudy
2016-02-18 15:46:10,OH,Mostly Cloudy
2016-02-18 16:40:55,OH,Overcast
2016-02-18 16:43:30,OH,Clear
2016-02-18 17:16:50,OH,Overcast
2016-02-18 17:24:32,OH,Clear
2016-02-19 04:22:53,OH,Overcast
2016-02-19 04:23:43,OH,Clear
2016-02-19 05:00:42,OH,Clear
2016-02-19 05:24:23,OH,Clear
2016-02-19 06:08:10,OH,Clear
2016-02-19 06:33:33,OH,Clear
2016-02-19 06:36:02,OH,Clear
2016-02-19 07:06:51,OH,Mostly Cloudy
2016-02-19 07:23:09,OH,Overcast
2016-02-19 07:39:56,OH,Mostly Cloudy
2016-02-19 07:38:00,OH,Clear
2016-02-19 07:51:29,OH,Clear
2016-02-19 07:52:38,OH,Mostly Cloudy
2016-02-19 08:05:52,OH,Clear
2016-02-19 08:18:42,OH,Overcast
2016-02-19 08:28:12,OH,Overcast
2016-02-19 08:32:47,OH,Overcast
2016-02-19 08:58:38,OH,Overcast
2016-02-19 10:24:05,OH,Overcast
2016-02-19 11:23:40,OH,Mostly Cloudy
2016-02-19 11:45:16,OH,Scattered Clouds
2016-02-19 11:37:32,OH,Scattered Clouds
2016-02-19 11:29:02,OH,Clear
2016-02-19 11:38:14,OH,Clear
2016-02-19 11:27:47,OH,Clear
2016-02-19 15:12:04,OH,Overcast
2016-02-19 15:15:38,OH,Overcast
2016-02-19 15:30:32,OH,Clear
2016-02-19 16:16:51,OH,Clear
2016-02-19 17:41:00,OH,Clear
2016-02-22 05:20:31,OH,Clear
2016-02-22 06:11:53,OH,Clear
2016-02-22 06:54:32,OH,Partly Cloudy
2016-02-22 07:09:58,OH,Partly Cloudy
2016-02-22 07:14:44,OH,Overcast
2016-02-22 07:26:02,OH,Shallow Fog
2016-02-22 07:24:22,OH,Overcast
2016-02-22 07:37:59,OH,Clear
2016-02-22 07:52:06,OH,Clear
2016-02-22 07:51:22,OH,Clear
2016-02-22 08:04:43,OH,Partly Cloudy
2016-02-22 08:13:51,OH,Clear
2016-02-22 08:19:52,OH,Clear
2016-02-22 08:41:13,OH,Scattered Clouds
2016-02-22 08:54:16,OH,Clear
2016-02-22 09:06:02,OH,Clear
2016-02-22 09:06:53,OH,Scattered Clouds
2016-02-22 09:36:13,OH,Scattered Clouds
2016-02-22 09:37:13,OH,Clear
2016-02-22 10:03:03,OH,Clear
2016-02-22 10:09:01,OH,Scattered Clouds
2016-02-22 10:27:46,OH,Mostly Cloudy
2016-02-22 11:17:40,OH,Scattered Clouds
2016-02-22 11:21:55,OH,Scattered Clouds
2016-02-22 11:40:35,OH,Mostly Cloudy
2016-02-22 14:21:00,OH,Mostly Cloudy
2016-02-22 15:34:53,OH,Clear
2016-02-22 16:57:30,OH,Clear
2016-02-22 16:57:56,OH,Scattered Clouds
2016-02-22 16:58:37,OH,Clear
2016-02-23 06:53:21,OH,Mostly Cloudy
2016-02-23 07:02:00,OH,Clear
2016-02-23 07:15:48,OH,Clear
2016-02-23 07:14:21,OH,Clear
2016-02-23 07:57:48,OH,Clear
2016-02-23 07:54:29,OH,Clear
2016-02-23 08:17:30,OH,Clear
2016-02-23 08:21:42,OH,Clear
2016-02-23 08:48:52,OH,Partly Cloudy
2016-02-23 09:46:46,OH,Clear
2016-02-23 09:48:43,OH,Clear
2016-02-23 09:54:16,OH,Scattered Clouds
2016-02-23 11:41:00,OH,Clear
2016-02-23 13:34:22,OH,Clear
2016-02-23 16:30:45,OH,Mostly Cloudy
2016-02-23 17:28:00,OH,Overcast
2016-02-23 17:43:00,OH,Overcast
2016-02-23 18:20:00,OH,Overcast
2016-02-23 19:07:18,OH,Overcast
2016-02-23 22:13:48,OH,Scattered Clouds
2016-02-24 05:14:38,OH,Light Rain
2016-02-24 05:28:28,OH,Rain
2016-02-24 05:27:51,OH,Heavy Rain
2016-02-24 06:14:24,OH,Light Freezing Rain
2016-02-24 06:24:28,OH,Light Rain
2016-02-24 06:25:17,OH,Rain
2016-02-24 06:31:22,OH,Rain
2016-02-24 06:37:39,OH,Light Rain
2016-02-24 06:50:19,OH,Rain
2016-02-24 06:53:32,OH,Rain
2016-02-24 07:05:21,OH,Rain
2016-02-24 07:09:31,OH,Rain
2016-02-24 07:18:41,WV,Cloudy
2016-02-24 07:24:28,OH,Rain
2016-02-24 07:23:08,OH,Light Rain
2016-02-24 07:27:16,OH,Light Rain
2016-02-24 07:29:39,OH,Rain
2016-02-24 07:26:01,OH,Rain
2016-02-24 07:43:10,OH,Rain
2016-02-24 07:39:13,OH,Rain
2016-02-24 07:52:43,OH,Rain
2016-02-24 07:51:38,OH,Rain
2016-02-24 08:02:29,OH,Heavy Rain
2016-02-24 07:59:51,OH,Light Rain
2016-02-24 08:04:57,OH,Heavy Rain
2016-02-24 08:05:22,OH,Rain
2016-02-24 08:17:26,OH,Rain
2016-02-24 08:11:43,OH,Rain
2016-02-24 08:16:26,OH,Drizzle
2016-02-24 08:24:30,OH,Light Rain
2016-02-24 08:56:20,OH,Overcast
2016-02-24 11:13:09,OH,Light Rain
2016-02-24 11:26:27,OH,Overcast
2016-02-24 11:25:37,OH,Overcast
2016-02-24 17:11:00,OH,Overcast
2016-02-25 06:04:05,OH,Overcast
2016-02-25 06:37:34,OH,Light Snow
2016-02-25 07:53:04,OH,Snow
2016-02-25 07:59:25,OH,Light Snow
2016-02-25 08:04:17,OH,Overcast
2016-02-25 09:26:59,OH,Light Snow
2016-02-25 09:46:34,OH,Overcast
2016-02-25 10:06:10,OH,Light Snow
2016-02-25 12:55:59,OH,Light Snow
2016-02-25 16:12:50,OH,Light Snow
2016-02-25 16:17:05,OH,Light Snow
2016-02-26 15:45:44,OH,Overcast
2016-02-26 15:53:46,OH,Overcast
2016-02-26 16:15:10,OH,Overcast
2016-02-26 16:21:21,OH,Light Snow
2016-02-26 16:51:27,OH,Overcast
2016-02-27 19:34:51,OH,Scattered Clouds
2016-02-28 12:58:44,OH,Clear
2016-02-28 18:09:32,OH,Clear
2016-02-29 04:45:27,OH,Haze
2016-02-29 06:02:33,OH,Overcast
2016-02-29 06:22:42,OH,Overcast
2016-02-29 07:14:41,OH,Overcast
2016-02-29 07:50:29,OH,Overcast
2016-02-29 08:11:30,OH,Overcast
2016-02-29 09:16:59,OH,Overcast
2016-02-29 09:26:13,OH,Haze
2016-02-29 09:31:35,OH,Overcast
2016-02-29 10:25:52,OH,Overcast
2016-02-29 11:32:19,OH,Mostly Cloudy
2016-02-29 12:51:44,OH,Scattered Clouds
2016-02-29 16:14:24,OH,Clear
2016-02-29 18:11:15,OH,Clear
2016-02-29 18:10:30,OH,Clear
2016-02-29 18:18:37,OH,Scattered Clouds
2016-02-29 18:42:00,OH,Scattered Clouds
2016-02-29 19:32:00,OH,Scattered Clouds
2016-02-29 19:52:11,OH,Partly Cloudy
2016-02-29 20:30:39,OH,Clear
2016-03-01 05:05:42,OH,Clear
2016-03-01 06:14:44,OH,Clear
2016-03-01 07:30:18,OH,Mostly Cloudy
2016-03-01 07:31:53,OH,Clear
2016-03-01 07:46:03,OH,Mostly Cloudy
2016-03-01 08:16:30,OH,Clear
2016-03-01 10:06:47,OH,Clear
2016-03-01 10:19:48,OH,Mostly Cloudy
2016-03-01 10:41:37,OH,Overcast
2016-03-01 11:12:57,OH,Overcast
2016-03-01 11:56:36,OH,Rain
2016-03-01 12:36:27,OH,Light Rain
2016-03-01 12:50:36,OH,Light Rain
2016-03-01 16:41:08,OH,Light Rain
2016-03-01 17:23:06,OH,
2016-03-01 17:31:22,OH,Light Rain
2016-03-01 17:39:00,OH,Overcast
2016-03-01 18:07:29,OH,Light Rain
2016-03-01 18:37:25,OH,Overcast
2016-03-01 18:52:22,OH,Overcast
2016-03-02 16:36:08,OH,Overcast
2016-03-02 17:12:54,OH,Scattered Clouds
2016-03-02 17:32:51,OH,Scattered Clouds
2016-03-02 17:52:45,OH,Mostly Cloudy
2016-03-02 19:20:37,OH,Clear
2016-03-02 19:43:39,OH,Partly Cloudy
2016-03-02 20:36:40,OH,Partly Cloudy
2016-03-03 04:51:44,OH,Mostly Cloudy
2016-03-03 06:39:51,OH,Overcast
2016-03-03 06:51:45,OH,Overcast
2016-03-03 07:40:36,OH,Light Snow
2016-03-03 07:43:25,OH,Light Snow
2016-03-03 07:44:53,OH,Overcast
2016-03-03 07:45:33,OH,Overcast
2016-03-03 08:07:05,OH,Light Snow
2016-03-03 08:19:42,OH,Light Snow
2016-03-03 09:12:10,OH,Light Snow
2016-03-03 09:42:54,OH,Overcast
2016-03-03 10:05:35,OH,Light Snow
2016-03-03 11:28:29,OH,Light Snow
2016-03-03 11:51:07,OH,Light Snow
2016-03-03 11:57:44,OH,Light Snow
2016-03-03 14:24:46,OH,Light Snow
2016-03-03 14:58:23,OH,Light Snow
2016-03-03 15:06:22,OH,Light Snow
2016-03-03 15:07:36,OH,Light Snow
2016-03-03 16:11:40,OH,Light Snow
2016-03-03 16:30:54,OH,Light Snow
2016-03-03 16:35:34,OH,Light Snow
2016-03-03 17:31:00,OH,Light Snow
2016-03-03 18:30:12,OH,Light Snow
2016-03-03 18:52:00,OH,Light Snow
2016-03-03 20:04:00,OH,Light Snow
2016-03-03 20:21:07,OH,Light Snow
2016-03-04 06:10:42,OH,Light Snow
2016-03-04 06:11:18,OH,Light Snow
2016-03-04 06:39:05,OH,Overcast
2016-03-04 06:43:09,OH,Light Snow
2016-03-04 06:44:45,OH,Overcast
2016-03-04 06:45:30,OH,Overcast
2016-03-04 07:09:31,OH,Overcast
2016-03-04 07:09:59,OH,Overcast
2016-03-04 07:28:45,OH,Overcast
2016-03-04 07:37:31,OH,Overcast
2016-03-04 07:52:53,OH,Overcast
2016-03-04 07:59:13,OH,Overcast
2016-03-04 08:01:42,OH,Haze
2016-03-04 08:06:17,OH,Haze
2016-03-04 08:14:01,OH,Overcast
2016-03-04 08:24:47,OH,Overcast
2016-03-04 08:33:12,OH,Overcast
2016-03-04 10:17:30,OH,Overcast
2016-03-04 11:15:47,OH,Overcast
2016-03-04 11:50:40,OH,Overcast
2016-03-04 14:55:55,OH,Overcast
2016-03-04 14:55:28,OH,Overcast
2016-03-04 16:46:11,OH,Overcast
2016-03-04 17:31:00,OH,Overcast
2016-03-04 17:28:40,OH,Overcast
2016-03-04 18:53:03,OH,Overcast
2016-03-05 07:07:25,OH,Overcast
2016-03-07 06:40:17,OH,Clear
2016-03-07 06:40:44,OH,Clear
2016-03-07 06:55:50,OH,Overcast
2016-03-07 07:27:39,OH,Clear
2016-03-07 09:02:27,OH,Clear
2016-03-07 09:03:03,OH,Mostly Cloudy
2016-03-07 09:04:41,OH,Clear
2016-03-07 10:32:16,OH,Overcast
2016-03-07 10:55:50,OH,Overcast
2016-03-07 11:10:55,OH,Overcast
2016-03-07 11:20:24,OH,Clear
2016-03-07 14:48:52,OH,Clear
2016-03-07 15:48:21,OH,Light Rain
2016-03-07 16:07:09,OH,Light Rain
2016-03-07 17:05:00,OH,Overcast
2016-03-07 21:49:00,OH,Clear
2016-03-08 04:25:14,OH,Partly Cloudy
2016-03-08 04:57:26,OH,Mostly Cloudy
2016-03-08 04:55:34,OH,Overcast
2016-03-08 05:31:02,OH,Overcast
2016-03-08 06:10:30,OH,Clear
2016-03-08 06:47:17,OH,Clear
2016-03-08 06:54:37,OH,Overcast
2016-03-08 06:57:44,OH,Overcast
2016-03-08 07:29:19,OH,Overcast
2016-03-08 07:26:53,OH,Overcast
2016-03-08 07:46:55,OH,Mostly Cloudy
2016-03-08 08:09:53,OH,Overcast
2016-03-08 09:20:23,OH,Mostly Cloudy
2016-03-08 10:36:45,OH,Clear
2016-03-08 10:37:41,OH,Clear
2016-03-08 10:39:09,OH,Clear
2016-03-08 10:55:29,OH,Scattered Clouds
2016-03-08 12:14:36,OH,Clear
2016-03-08 12:20:00,OH,Overcast
2016-03-08 13:19:16,OH,Clear
2016-03-08 16:13:46,OH,Mostly Cloudy
2016-03-08 17:11:00,OH,Clear
2016-03-08 17:26:10,OH,Clear
2016-03-08 17:56:35,OH,Clear
2016-03-08 17:55:00,OH,Clear
2016-03-08 18:41:00,OH,Mostly Cloudy
2016-03-09 06:07:45,OH,Clear
2016-03-09 06:42:51,OH,Clear
2016-03-09 06:50:34,OH,Clear
2016-03-09 07:22:35,OH,Mostly Cloudy
2016-03-09 08:13:28,OH,Mostly Cloudy
2016-03-09 08:39:20,OH,Clear
2016-03-09 08:38:38,OH,Clear
2016-03-09 09:38:42,OH,Mostly Cloudy
2016-03-09 09:41:18,OH,Mostly Cloudy
2016-03-09 09:40:00,OH,Partly Cloudy
2016-03-09 11:27:24,OH,Mostly Cloudy
2016-03-09 11:41:23,OH,Scattered Clouds
2016-03-09 11:40:43,OH,Scattered Clouds
2016-03-09 11:56:56,OH,Partly Cloudy
2016-03-09 13:55:50,OH,Mostly Cloudy
2016-03-09 14:28:02,OH,Light Rain Showers
2016-03-09 14:47:02,OH,Light Rain
2016-03-09 15:01:02,OH,Light Rain
2016-03-10 05:22:10,OH,Overcast
2016-03-10 06:09:17,OH,Overcast
2016-03-10 06:12:15,OH,Overcast
2016-03-10 07:10:04,OH,Light Rain
2016-03-10 07:22:33,OH,Rain
2016-03-10 07:35:01,OH,Overcast
2016-03-10 07:41:11,OH,Light Rain
2016-03-10 07:42:38,OH,Light Rain
2016-03-10 07:56:35,OH,Light Rain
2016-03-10 08:03:25,OH,Overcast
2016-03-10 08:12:38,OH,Overcast
2016-03-10 08:48:10,OH,Overcast
2016-03-10 09:32:41,OH,Mostly Cloudy
2016-03-10 09:36:26,OH,Light Rain
2016-03-10 09:37:25,OH,Light Rain
2016-03-10 09:36:50,OH,Light Rain
2016-03-10 10:00:50,OH,Light Rain
2016-03-10 10:33:46,OH,Light Rain
2016-03-10 11:08:43,OH,Light Rain
2016-03-10 11:29:29,OH,Rain
2016-03-10 11:27:00,OH,Light Rain
2016-03-10 13:25:31,OH,Light Rain
2016-03-10 14:44:12,OH,Rain
2016-03-10 15:02:15,OH,Light Rain
2016-03-10 15:29:46,OH,Light Rain
2016-03-10 16:14:42,OH,Light Rain
2016-03-10 15:57:41,OH,Rain
2016-03-10 16:41:06,OH,Light Rain
2016-03-10 18:08:00,OH,Light Rain
2016-03-10 18:34:00,OH,Rain
2016-03-10 19:17:46,OH,Rain
2016-03-10 20:21:40,OH,Rain
2016-03-11 05:06:12,OH,Overcast
2016-03-11 07:22:54,OH,Mostly Cloudy
2016-03-11 07:28:06,OH,Overcast
2016-03-11 07:28:40,OH,
2016-03-11 07:46:20,OH,Overcast
2016-03-11 08:06:35,OH,Overcast
2016-03-11 08:38:31,OH,Overcast
2016-03-11 08:36:58,OH,Overcast
2016-03-11 09:01:09,OH,Overcast
2016-03-11 09:20:22,OH,Overcast
2016-03-11 09:12:17,OH,Overcast
2016-03-11 09:42:23,OH,Overcast
2016-03-11 09:37:00,OH,Overcast
2016-03-11 09:37:00,OH,Overcast
2016-03-11 09:50:13,OH,Overcast
2016-03-11 10:05:05,OH,Overcast
2016-03-11 10:06:28,OH,Overcast
2016-03-11 10:39:00,OH,Mostly Cloudy
2016-03-11 10:51:00,OH,Mostly Cloudy
2016-03-11 11:36:04,OH,Mostly Cloudy
2016-03-11 12:18:00,OH,Overcast
2016-03-11 13:18:48,OH,Clear
2016-03-11 14:38:00,OH,Overcast
2016-03-11 15:30:55,OH,Clear
2016-03-11 17:02:09,OH,Mostly Cloudy
2016-03-11 17:10:00,OH,Clear
2016-03-11 17:15:55,OH,Mostly Cloudy
2016-03-11 17:07:00,OH,Mostly Cloudy
2016-03-11 17:35:00,OH,Clear
2016-03-11 18:34:00,OH,Mostly Cloudy
2016-03-12 07:03:00,OH,Clear
2016-03-12 10:48:00,OH,Clear
2016-03-12 11:55:00,OH,Clear
2016-03-14 04:23:17,OH,Mostly Cloudy
2016-03-14 06:10:12,OH,Mostly Cloudy
